name,tags,link
Crop-top rosa,veraniego;rosa;crop-top;,crop_top_rosa.png"
camiseta-negra,basica;negro;camiseta;,camiseta_negra.png"
camiseta-blanca,basica;blanco;camiseta;,camiseta_blanca.png"
camiseta-verde,basica;verde;camiseta;,camiseta_verde.png"
camiseta-gris,basica;gris;camiseta;,camiseta_gris.png"
cadena cubana,elegante;gris;cadena;,cadena_cubana.png"
camisa -blanca,clásico;blanco;camisa;,camisablanca.png"
pantalones vaqueros,casual;azul;vaqueros;,pantalones_vaqueros.png"
sombrero de paja,veraniego;marrón;sombrero;,sombrero_paja.png"
collar de perlas,elegante;blanco;perlas;,collar_perlas.png"
vestido negro,formal;negro;vestido;,vestido_negro.png"
shorts de mezclilla,casual;mezclilla;shorts;,shorts_mezclilla.png"
hoodie negro,hoodie;basico;negro;,hoodie_negro.png"
bufanda de lana,invierno;marrón;bufanda;,bufanda_lana.png"
jogger gris,casual;basico;gris;,jogger_gris.png"
suéter de cuello alto,invierno;gris;suéter;,sweater_cuello_alto.png"
falda plisada,formal;rosa;falda;,falda_plisada.png"
gorro de lana,invierno;rojo;gorro;,gorro_lana.png"
hoodie rojo estampado,rojo;nike;hoodie;casual;,hoodie_estampado.png"
cinturón de cuero,marrón;cuero;cinturón;,cinturon_cuero.png"
blusa de encaje blanco,romántico;blanco;encaje;blusa;,blusa_encaje_blanco.png"
leggings negros,deportivo;negro;leggins;,leggins_negros.png"
pañuelo estampado,veraniego;colorido;pañuelo;,pañuelo_estampado.png"
zapatos de tacón alto,elegante;negro;tacón;zapatos;,tacos_negros.png"
bolsa de cuero,marrón;cuero;bolsa;,bolsa_cuero_marron.png"
boina de lana,invierno;rojo;boina;,boina_lana_roja.png"
bralette negro,romantico;negro;bralette;,bralette_negro.png"
zapatos mocasines,negro;elegante;zapatos;,mocasines_negros.png"
tenis blancos,casual;blanco;tenis;,tenis_blancos.png"
vestido de verano,veraniego;floral;vestido;,vestido_floral.png"
chaqueta de cuero,negro;elegante;chaqueta;,chaqueta_cuero.png"
chaqueta de plumas,blanco;casual;chaqueta;,chaqueta_plumas.png"
 jean con rotos,casual;jean;,jean.png"
botas de cuero,marrón;cuero;botas;,botas_cuero_marron.png"
gorra de béisbol,casual;azul;gorra;,gorra_beisbol_azul.png"
sandalias de tacón,elegante;dorado;tacón;sandalias;,sandalias_tacon_dorado.png"
pendientes de plata,plata;pendientes;,pendientes_plata.png"
blusa de seda,elegante;rosa;seda;blusa;,blusa_seda_rosa.png"
falda plisada,elegante;negro;plisada;falda;,falda_plisada_negra.png"
botines negros,casual;negro;botines;,botines_negros.png"
camiseta sin mangas,casual;blanco;camiseta;,camiseta_blanca.png"
bolso de mano,casual;azul;bolso;,bolso_mano_azul.png"
jeans pitillo,casual;azul;jeans;,jeans_pitillo_azul.png"
blusa sin mangas,verano;amarillo;blusa; sin mangas;,blusa_sin_mangas_amarilla.png"
pantalón de vestir,elegante;gris;pantalón;,pantalón_vestir_gris.png"
reloj de pulsera,casual;plateado;reloj;,reloj_pulsera_plateado.png"
Bolso bandolera,casual;rojo;bolso bandolera;,bolso_bandolera_rojo.png"
mocasines de ante,elegante;azul;ante;mocasines;,mocasines_ante_azul.png"
chaqueta de cuero,elegante;negro;chaqueta;cuero;,chaqueta_cuero_negro.png"
pantalones cargo,casual;khaki;pantalones cargo;,pantalones_cargo_khaki.png"
tennis de bota,blanco;tennis de bota;casual;,tennis_bota.png"
chaqueta rompevientos,deportivo;chaqueta;,chaqueta_rompevientos.png"
